"Value Set Name","Value Set Clinical Focus","OID","Profile Element","Page","Notes or examples"
"Heart Calcium Score","This set of values addresses terms representing Heart Calcium Score.","2.16.840.1.113762.1.4.1222.884","Observation.code","mcc_observation_imaging_value_sets.html",""
"Coronary CT Angiogram","This set of values represent computer assisted diagnostic medical imaging test concepts. These terms may be used when reporting a result associated with Coronary CT Angiogram or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.885","Observation.code","mcc_observation_imaging_value_sets.html",""
"Limb CT Angiogram","This set of values represent computer assisted diagnostic medical imaging test concepts. These terms may be used when reporting a result associated with Limb CT Angiogram or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.886","Observation.code","mcc_observation_imaging_value_sets.html",""
"Chest CT Angiogram","This set of values represent computer assisted diagnostic medical imaging test concepts. These terms may be used when reporting a result associated with Chest CT angiogram or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.888","Observation.code","mcc_observation_imaging_value_sets.html",""
"Head and Neck CT Angiogram","This set of values represent computer assisted diagnostic medical imaging test concepts. These terms may be used when reporting a result associated with Head and Neck CT Angiogram or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.889","Observation.code","mcc_observation_imaging_value_sets.html",""
"Gastrointestinal Tract X Ray","These terms may be used when reporting a result associated with Gastrointestinal Tract X-ray or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.891","Observation.code","mcc_observation_imaging_value_sets.html",""
"Gallbladder X Ray","These terms may be used when reporting a result associated with Gallbladder X-ray or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.892","Observation.code","mcc_observation_imaging_value_sets.html",""
"Kidney X Ray","These terms may be used when reporting a result associated with Kidney X-ray or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.893","Observation.code","mcc_observation_imaging_value_sets.html",""
"Abdomen X Ray","These terms may be used when reporting a result associated with Abdomen X-ray or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.894","Observation.code","mcc_observation_imaging_value_sets.html",""
"Pelvis X Ray","These terms may be used when reporting a result associated with Pelvis X-ray or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.895","Observation.code","mcc_observation_imaging_value_sets.html",""
"Hand X Ray","These terms may be used when reporting a result associated with Hand X-ray or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.896","Observation.code","mcc_observation_imaging_value_sets.html",""
"Wrist X Ray","These terms may be used when reporting a result associated with Wrist X-ray or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.897","Observation.code","mcc_observation_imaging_value_sets.html",""
"Forearm X Ray","These terms may be used when reporting a result associated with Forearm (Radius and Ulna) X-ray or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.898","Observation.code","mcc_observation_imaging_value_sets.html",""
"Elbow X Ray","These terms may be used when reporting a result associated with Elbow X-ray or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.899","Observation.code","mcc_observation_imaging_value_sets.html",""
"Upper Arm X Ray","These terms may be used when reporting a result associated with Upper Arm X-ray or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.900","Observation.code","mcc_observation_imaging_value_sets.html",""
"Shoulder X Ray","These terms may be used when reporting a result associated with Shoulder X-ray or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.901","Observation.code","mcc_observation_imaging_value_sets.html",""
"Upper Extremity X Ray","These terms may be used when reporting a result associated with Upper Extremity X-ray or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.902","Observation.code","mcc_observation_imaging_value_sets.html",""
"Foot X Ray","These terms may be used when reporting a result associated with Foot X-ray or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.903","Observation.code","mcc_observation_imaging_value_sets.html",""
"Ankle X Ray","These terms may be used when reporting a result associated with Ankle X-ray or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.904","Observation.code","mcc_observation_imaging_value_sets.html",""
"Shin X Ray","These terms may be used when reporting a result associated with Shin bone (Tibia) X-ray or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.905","Observation.code","mcc_observation_imaging_value_sets.html",""
"Knee X Ray","These terms may be used when reporting a result associated with Knee X-ray or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.906","Observation.code","mcc_observation_imaging_value_sets.html",""
"Thigh X Ray","These terms may be used when reporting a result associated with Thigh X-ray or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.907","Observation.code","mcc_observation_imaging_value_sets.html",""
"Hip X Ray","These terms may be used when reporting a result associated with Hip X-ray or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.908","Observation.code","mcc_observation_imaging_value_sets.html",""
"Lower Extremity X Ray","These terms may be used when reporting a result associated with Lower Extremity X-ray or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.909","Observation.code","mcc_observation_imaging_value_sets.html",""
"Abdominal MRI","These terms may be used when reporting a result associated with Abdominal Region MRI or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.910","Observation.code","mcc_observation_imaging_value_sets.html",""
"Adrenal Gland MRI","These terms may be used when reporting a result associated with Adrenal Gland MRI or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.911","Observation.code","mcc_observation_imaging_value_sets.html",""
"Kidney MRI","These terms may be used when reporting a result associated with Kidney MRI or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.912","Observation.code","mcc_observation_imaging_value_sets.html",""
"Pancreas MRI","These terms may be used when reporting a result associated with Pancreas MRI or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.913","Observation.code","mcc_observation_imaging_value_sets.html",""
"Kidney MRA","These terms may be used when reporting a result associated with Kidney MRA or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.915","Observation.code","mcc_observation_imaging_value_sets.html",""
"Chest Region MRI","These terms may be used when reporting a result associated with Chest Region MRI or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.916","Observation.code","mcc_observation_imaging_value_sets.html",""
"Pulmonary MRI","These terms may be used when reporting a result associated with Pulmonary MRI or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.917","Observation.code","mcc_observation_imaging_value_sets.html",""
"Cardiac MRI","These terms may be used when reporting a result associated with Cardiac MRI or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.918","Observation.code","mcc_observation_imaging_value_sets.html",""
"Spine MRI","These terms may be used when reporting a result associated with Spine MRI or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.920","Observation.code","mcc_observation_imaging_value_sets.html",""
"Head and Neck MRI","These terms may be used when reporting a result associated with Head and Neck MRI or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.921","Observation.code","mcc_observation_imaging_value_sets.html",""
"Brain MRI","These terms may be used when reporting a result associated with Brain MRI or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.922","Observation.code","mcc_observation_imaging_value_sets.html",""
"Pelvic Region MRI","These terms may be used when reporting a result associated with Pelvic Region MRI or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.923","Observation.code","mcc_observation_imaging_value_sets.html",""
"Knee MRI","These terms may be used when reporting a result associated with knee MRI or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.924","Observation.code","mcc_observation_imaging_value_sets.html",""
"Foot MRI","These terms may be used when reporting a result associated with Foot MRI or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.925","Observation.code","mcc_observation_imaging_value_sets.html",""
"Shoulder MRI","These terms may be used when reporting a result associated with Shoulder MRI or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.927","Observation.code","mcc_observation_imaging_value_sets.html",""
"Lower Extremity MRA","These terms may be used when reporting a result associated with Lower Extremity MRA or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.928","Observation.code","mcc_observation_imaging_value_sets.html",""
"Spine X Ray","These terms may be used when reporting a result associated with Spine X-ray or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.930","Observation.code","mcc_observation_imaging_value_sets.html",""
"Hip MRI","These terms may be used when reporting a result associated with Hip MRI or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.933","Observation.code","mcc_observation_imaging_value_sets.html",""
"Thigh or Femur MRI","These terms may be used when reporting a result associated with Thigh or Femur MRI or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.934","Observation.code","mcc_observation_imaging_value_sets.html",""
"Ankle MRI","These terms may be used when reporting a result associated with Ankle MRI or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.935","Observation.code","mcc_observation_imaging_value_sets.html",""
"Lower Extremity MRI","These terms may be used when reporting a result associated with Lower Extremity MRI or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.936","Observation.code","mcc_observation_imaging_value_sets.html",""
"Forearm MRI","These terms may be used when reporting a result associated with Forearm MRI or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.937","Observation.code","mcc_observation_imaging_value_sets.html",""
"Elbow MRI","These terms may be used when reporting a result associated with Elbow MRI or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.938","Observation.code","mcc_observation_imaging_value_sets.html",""
"Wrist MRI","These terms may be used when reporting a result associated with Wrist MRI or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.939","Observation.code","mcc_observation_imaging_value_sets.html",""
"Hand MRI","These terms may be used when reporting a result associated with Hand MRI or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.940","Observation.code","mcc_observation_imaging_value_sets.html",""
"Upper Extremity MRI","These terms may be used when reporting a result associated with Upper Extremity MRI or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.942","Observation.code","mcc_observation_imaging_value_sets.html",""
"Abdominal MRA","These terms may be used when reporting a result associated with Abdominal MRA or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.943","Observation.code","mcc_observation_imaging_value_sets.html",""
"Chest MRA","These terms may be used when reporting a result associated with Chest MRA or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.944","Observation.code","mcc_observation_imaging_value_sets.html",""
"Upper Extremity MRA","These terms may be used when reporting a result associated with Upper Extremity MRA or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.945","Observation.code","mcc_observation_imaging_value_sets.html",""
"Head and Neck MRA","These terms may be used when reporting a result associated with head and Neck MRA or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.947","Observation.code","mcc_observation_imaging_value_sets.html",""
"Pelvic Region MRA","These terms may be used when reporting a result associated with Pelvic Region MRA or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.948","Observation.code","mcc_observation_imaging_value_sets.html",""
"Functional MRI","These terms may be used when reporting a result associated with Functional MRI or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.949","Observation.code","mcc_observation_imaging_value_sets.html",""
"Optical Coherence Tomography","These terms may be used when reporting a result associated with Optical Coherence Tomography or may be used to represent the procedure.","2.16.840.1.113762.1.4.1222.951","Observation.code","mcc_observation_imaging_value_sets.html",""
"Head CT","This value set contains concepts that represent a CT of the head.","2.16.840.1.113883.17.4077.2.1019","Observation.code","mcc_observation_imaging_value_sets.html",""
"Bone Scan","The purpose of this value set is to represent concepts of bone scan diagnostic imaging.","2.16.840.1.113883.3.526.2.1374","Observation.code","mcc_observation_imaging_value_sets.html",""
"Ejection Fraction","The purpose of this value set is to represent concepts of diagnostic studies for ejection fraction.","2.16.840.1.113883.3.526.3.1134","Observation.code","mcc_observation_imaging_value_sets.html",""
"English Proficiency","This set of values addresses terms representing an observation of English proficiency.","2.16.840.1.113762.1.4.1222.1030","Observation.code","mcc_observation_sdoh_assessment_value_sets.html",""
"Neglect","This set of values addresses terms representing an observation of neglect.","2.16.840.1.113762.1.4.1222.1042","Observation.code","mcc_observation_sdoh_assessment_value_sets.html",""
"Current or Former Occupation","This set of values addresses terms representing an observation of current or former occupation.","2.16.840.1.113762.1.4.1222.1048","Observation.code","mcc_observation_sdoh_assessment_value_sets.html",""
"Work Productivity","This set of values represent question terms about work productivity.","2.16.840.1.113762.1.4.1222.1050","Observation.code","mcc_observation_sdoh_assessment_value_sets.html",""
"Income Level","This set of values addresses terms representing questions intended to capture observations of individual or household income level.","2.16.840.1.113762.1.4.1222.1053","Observation.code","mcc_observation_sdoh_assessment_value_sets.html",""
"Caregiver Characteristics","This set of values addresses terms representing an observation of caregiver characteristics.","2.16.840.1.113762.1.4.1222.1057","Observation.code","mcc_observation_sdoh_assessment_value_sets.html",""
"Caregiver Availability","This set of values addresses terms representing an observation of caregiver availability.","2.16.840.1.113762.1.4.1222.1058","Observation.code","mcc_observation_sdoh_assessment_value_sets.html",""
"Living Situation","This set of values addresses terms representing questions about living situations/living arrangements.","2.16.840.1.113762.1.4.1222.1060","Observation.code","mcc_observation_sdoh_assessment_value_sets.html",""
"Marital or Spousal Status","This set of values addresses terms representing an observation of marital or spousal status.","2.16.840.1.113762.1.4.1222.1064","Observation.code","mcc_observation_sdoh_assessment_value_sets.html",""
"Dependents in Home","This set of values addresses terms representing an observation of the number of dependents in home.","2.16.840.1.113762.1.4.1222.1065","Observation.code","mcc_observation_sdoh_assessment_value_sets.html",""
"Physical Activity Level","This set of values addresses terms representing questions about physical activity level.","2.16.840.1.113762.1.4.1222.1068","Observation.code","mcc_observation_sdoh_assessment_value_sets.html",""
"Leisure Activity Engagement","This set of values addresses terms representing an observation of engagement in leisure activities.","2.16.840.1.113762.1.4.1222.1069","Observation.code","mcc_observation_sdoh_assessment_value_sets.html",""
"Exposure to Environmental Hazards","This set of values addresses terms representing an observation of exposure to environmental hazards.","2.16.840.1.113762.1.4.1222.1075","Observation.code","mcc_observation_sdoh_assessment_value_sets.html",""
"Unsafe Neighborhood","This set of values contains terms representing Questions about neighborhood safety.","2.16.840.1.113762.1.4.1222.1076","Observation.code","mcc_observation_sdoh_assessment_value_sets.html",""
"Experiences of Discrimination","This set of values addresses terms representing questions intended to capture experiences of discrimination.","2.16.840.1.113762.1.4.1222.1080","Observation.code","mcc_observation_sdoh_assessment_value_sets.html",""
"Criminal Justice Involvement or Incarceration History","This set of values addresses terms representing an observation of criminal justice involvement or incarceration history.","2.16.840.1.113762.1.4.1222.1082","Observation.code","mcc_observation_sdoh_assessment_value_sets.html",""
"Immigration Status","This set of values addresses terms representing an observation of immigration status or citizenship.","2.16.840.1.113762.1.4.1222.1083","Observation.code","mcc_observation_sdoh_assessment_value_sets.html",""
"Social Determinants of Health Procedures","The value sets in this group represent domain-specific interventions identified by the Gravity Project to document services delivered across the clinical and social care ecosystem (including clinical settings, community-based organizations, departments of health and housing, designated agencies, educational settings, etc.). This value set will continue to be refined to contain specific procedures typically performed by clinical and social care partners in response to a service request. Many social care partners document procedures in compliance with their own data requirements and taxonomies (e.g., 211 LA, Homeless Management Information System, etc.). Although the SDOH ServiceRequest value sets and SDOH Procedure value sets are currently identical, they will diverge as value set development continues under the Gravity governance process.","2.16.840.1.113762.1.4.1196.789","Procedure.code","mcc_procedure_and_service_request_value_sets.html",""
"Social Determinants of Health Service Requests","The value sets in this group represent all of the individual domain interventions identified by the Gravity Project that can be used to request services from partners in the clinical and social care ecosystem (including clinical specialists such as community health workers, social workers and dieticians, and community partners such as community-based organizations, departments of education, health and housing, libraries, etc.). This value set will continue to be refined to contain the more general higher-level concepts that typically comprise referrals for services. Clinical and social care partners will typically fulfill the service requests by performing activities (procedures) at a much more detailed level. Currently, the ServiceRequest and Procedure SDOH value sets are identical, but they will diverge in the near future to reflect these differences as they mature and consensus is reached through the Gravity governance process.","2.16.840.1.113762.1.4.1196.790","ServiceRequest.code","mcc_procedure_and_service_request_value_sets.html",""
"Sleep Disorder Assessment","This set of values addresses terms representing patient-reported Sleep Disorder Assessment.","2.16.840.1.113762.1.4.1222.1572","Questionnaire.code","mcc_questionnaire_response_value_sets.html",""PROMIS item bank - sleep disturbance - version 1.0, PROMIS item bank - sleep related impairment - version 1.0, PROMIS short form - sleep disturbance 8b - version 1.0, PROMIS short form - sleep impairment 8a - version 1.0, PhenX - sleep disorders screener protocol 121001, Neuro-Qol item bank - sleep disturbance - version 1.0, PROMIS short form - sleep disturbance 4a - version 1.0, PROMIS short form - sleep disturbance 6a - version 1.0, Sleep panel [R-Outcomes]""
"Cognitive Health Related Questionnaire Panel Codes","This set of values contain LOINC Panel codes pertaining to cognitive health questionnaire panels.","2.16.840.1.113762.1.4.1222.1584","Questionnaire.code","mcc_questionnaire_response_value_sets.html",""Cognitive Functioning [FACIT], General Practitioner Assessment of Cognition [GPCOG] , Montreal Cognitive Assessment [MoCA], Perceived cognitive abilities [FACIT], Perceived cognitive impairments [FACIT], PROMIS item bank - cognitive function - abilities subset - version 2.0, PROMIS short form - cognitive function - abilities subset 4a - version 2.0 , PROMIS short form - cognitive function - abilities subset 6a - version 2.0, PROMIS short form - cognitive function - abilities subset 8a - version 2.0, PROMIS short form - cognitive function 4a - version 2.0, PROMIS short form - cognitive function 6a - version 2.0, PROMIS short form - cognitive function 8a - version 2.0Short Informant Questionnaire on Cognitive Decline in the Elderly [IQCODE]""
"Alcohol Use Related Questionnaire Panel Codes","This set of values contain LOINC Panel codes pertaining to Alcohol Use.","2.16.840.1.113762.1.4.1222.1585","Questionnaire.code","mcc_questionnaire_response_value_sets.html",""Alcohol Use Disorder Identification Test - Consumption [AUDIT-C], PROMIS short form - alcohol - alcohol use 7a - version 1.0""
"Functional Status Related Questionnaire Panel Codes","This set of values contain LOINC Panel codes pertaining to functional status questionnaire panels.","2.16.840.1.113762.1.4.1222.1586","Questionnaire.code","mcc_questionnaire_response_value_sets.html",""PROMIS item bank - physical function - version 1.0, PROMIS short form - physical function 10a - version 1.0, PROMIS short form - physical function 4a - version 1.0, PROMIS short form - physical function 20a - version 1.0, PROMIS short form - physical function 6b - version 1.2, PROMIS short form - physical function 8b - version 1.2 , PROMIS item bank - physical function w mobility aids - version 1.0, PROMIS short form - physical function w mobility aids - version 1.0""
"Kidney Disease Related Questionnaire Panel Codes","This set of values contain LOINC Panel codes pertaining to kidney disease questionnaire panels.","2.16.840.1.113762.1.4.1222.1587","Questionnaire.code","mcc_questionnaire_response_value_sets.html",""Renal replacement therapy goals panel NKDEP, Kidney failure 2-year and 5-year risk panel by KFRE""
"Long Covid Related Questionnaire Panel Codes","This set of values contain LOINC Panel codes pertaining to Long Covid questionnaire panels","2.16.840.1.113762.1.4.1222.1588","Questionnaire.code","mcc_questionnaire_response_value_sets.html",""Generalized anxiety disorder 7 item (GAD-7), Post traumatic stress disorder (PTSD) checklist - civilian version [PCL-C], Polysomnography panel, Post COVID-19 functional status scale [PCFS]""
"Nutrition Status Related Questionnaire Panel Codes","This set of values contain LOINC Panel codes pertaining to nutrition status questionnaire panels.","2.16.840.1.113762.1.4.1222.1589","Questionnaire.code","mcc_questionnaire_response_value_sets.html",""PhenX - dietary supplements protocol 050501, Nutrition assessment panel, Nutrition status observation panel""
"Pain Perception Related Questionnaire Panel Codes","This set of values contain LOINC Panel codes pertaining to pain perception questionnaire panels.","2.16.840.1.113762.1.4.1222.1590","Questionnaire.code","mcc_questionnaire_response_value_sets.html",""Pain assessment panel, PROMIS item bank - pain interference - version 1.0, PROMIS short form - pain interference 6b - version 1.0, PROMIS short form - pain behavior 7a - version 1.0, PROMIS item bank - pain behavior - version 1.0, PROMIS short form - pain intensity 3a - version 1.0, PROMIS short form - pain interference 8a - version 1.0""
"Patient Goal Related Questionnaire Panel Codes","This set of values contain LOINC Panel codes pertaining to patient goal questionnaire panels.","2.16.840.1.113762.1.4.1222.1591","Questionnaire.code","mcc_questionnaire_response_value_sets.html",""Therapeutic goals panel, Chronic kidney disease management personal goals panel, Physical therapy goals panel, Renal replacement therapy goals panel NKDEP, Chronic kidney disease management personal goals panel""
"Covid 19 Related Health Questionnaire Panel Codes","This set of values contain LOINC Panel codes pertaining to Covid 19 Related Health Questionnaire Panel Codes","2.16.840.1.113762.1.4.1222.1593","Questionnaire.code","mcc_questionnaire_response_value_sets.html",""COVID-19 participant experience survey, COVID-19 experiences - media use panel [COVEX], COVID-19 experiences - employment and school changes panel [COVEX], COVID-19 experiences - coping panel [COVEX], Post COVID-19 functional status scale [PCFS], COVID-19 comorbidity and healthcare questionnaire, COVID-19 related household finances, COVID-19 health questions panel, COVID-19 Knowledge, Attitudes, and Avoidant Behaviors panel""
"Caregiver Considerations Related Questionnaire Panel Codes","This set of values contain LOINC Panel codes pertaining to Caregiver Considerations Related Questionnaire Panel Codes.","2.16.840.1.113762.1.4.1222.1594","Questionnaire.code","mcc_questionnaire_response_value_sets.html",""Caregiver Patient Activation Measure - 10 [PAM] Caregiver, Caregiver Patient Activation Measure - 13 [PAM] Caregiver, WE CARE Survey [WE CARE] Caregiver""
"Criminal Justice Involvement or Incarceration History","This set of values contain LOINC Panel codes pertaining to criminal justice involvement or incarceration in the past year.","2.16.840.1.113762.1.4.1222.1598","Questionnaire.code","mcc_questionnaire_response_value_sets.html",""PhenX - crime and delinquency - adult protocol 181202, PhenX - crime and delinquency - adolescent protocol 181201""
"Framingham Risk Assessments","This set of values addresses terms representing Panel code(S) for Framingham Risk Assessments.","2.16.840.1.113762.1.4.1222.582","Questionnaire.code","mcc_questionnaire_response_value_sets.html",""Framingham Risk Assessments Framingham""
"Balance Assessments","This set of values addresses terms representing Balance Assessments.","2.16.840.1.113762.1.4.1222.828","Questionnaire.code","mcc_questionnaire_response_value_sets.html",""PhenX - balance protocol 170801, Standing Balance Test [NIH Toolbox]""
"Social Determinants of Health Screening Assessments","This set of values represents screening assessments for all SDOH domains as selected by the Gravity Project.","2.16.840.1.113762.1.4.1247.126","Questionnaire.code","mcc_questionnaire_response_value_sets.html",""PROMIS item bank - 29 profile, PhenX - substance - 30D frequency protocol 031301, PhenX - physical activity - neighborhood environment protocol 151201, PhenX - current quality of life protocol 180301, PhenX - perceived social support - conflict protocol 180701, PhenX - social isolation protocol 181001, PhenX - chronic stress protocol 181301, PhenX - discrimination protocol 210301, PhenX - neighborhood safety protocol 210901, PhenX - neighborhood concentrated disadvantage protocol 211301, PhenX - annual family income protocol 011101, Social - family well-being [FACIT], Relationships [FACIT], Social - family well-being - FAMS [FACIT], Social connection and isolation panel, PROMIS item bank - emotional support - version 2.0, PROMIS item bank - instrumental support - version 2.0, PROMIS item bank - social isolation - version 2.0, PROMIS short form - global - version 1.2""
"Sexual Satisfaction","This set of values addresses terms representing an observation of reported sexual satisfaction.","2.16.840.1.113762.1.4.1222.1005","Observation.code","mcc_simple_observation_value_sets.html",""
"Substance Use","This set of values addresses terms representing an observation of reported substance use.","2.16.840.1.113762.1.4.1222.1015","Observation.code","mcc_simple_observation_value_sets.html",""
"Tobacco Use","This set of values addresses terms representing an observation of a person's tobacco use","2.16.840.1.113762.1.4.1222.1016","Observation.code","mcc_simple_observation_value_sets.html",""
"Screen Time","This set of values addresses terms representing an observation of a person's screen time","2.16.840.1.113762.1.4.1222.1020","Observation.code","mcc_simple_observation_value_sets.html",""
"Fluid Management","This set of values addresses terms representing an observation of fluid management.","2.16.840.1.113762.1.4.1222.1022","Observation.code","mcc_simple_observation_value_sets.html",""
"Fat Intake","This set of values addresses terms representing an observation of fat intake.","2.16.840.1.113762.1.4.1222.1023","Observation.code","mcc_simple_observation_value_sets.html",""
"Unsaturated Fat Intake","This set of values addresses terms representing an observation of unsaturated fat intake.","2.16.840.1.113762.1.4.1222.1024","Observation.code","mcc_simple_observation_value_sets.html",""
"Saturated Fat Intake","This set of values addresses terms representing an observation of saturated fat intake.","2.16.840.1.113762.1.4.1222.1025","Observation.code","mcc_simple_observation_value_sets.html",""
"Carbohydrate Intake","This set of values addresses terms representing an observation of carbohydrate intake.","2.16.840.1.113762.1.4.1222.1026","Observation.code","mcc_simple_observation_value_sets.html",""
"Salt Intake","This set of values addresses terms representing an observation of salt intake.","2.16.840.1.113762.1.4.1222.1027","Observation.code","mcc_simple_observation_value_sets.html",""
"Vegetable Intake","This set of values addresses terms representing an observation of vegetable intake.","2.16.840.1.113762.1.4.1222.1028","Observation.code","mcc_simple_observation_value_sets.html",""
"Fruit Intake","This set of values addresses terms representing an observation of fruit intake.","2.16.840.1.113762.1.4.1222.1029","Observation.code","mcc_simple_observation_value_sets.html",""
"Sleep Behavior","This set of values addresses terms representing an observation of sleep behaviors.","2.16.840.1.113762.1.4.1222.1197","Observation.code","mcc_simple_observation_value_sets.html",""
"Medication Literacy","This set of values addresses terms representing Medication Literacy.","2.16.840.1.113762.1.4.1222.1203","Observation.code","mcc_simple_observation_value_sets.html",""
"Education Level SCT","This set of values addresses terms representing Education Level.","2.16.840.1.113762.1.4.1222.1229","Observation.code","mcc_simple_observation_value_sets.html",""
"Physical findings of the abdomen","This set of values addresses concepts for the assessment of the patient's abdomen.","2.16.840.1.113762.1.4.1222.1569","Observation.code","mcc_simple_observation_value_sets.html",""
"American College of Cardiology or American Heart Association Ascvd Risk Score (acc/aha Ascvd Risk)","This set of values addresses terms representing an observation for American College of Cardiology/American Heart Association ASCVD risk score (ACC/AHA ASCVD risk)","2.16.840.1.113762.1.4.1222.583","Observation.code","mcc_simple_observation_value_sets.html",""
"Fall Risk","This set of values addresses terms representing an observation indicating fall risk.","2.16.840.1.113762.1.4.1222.711","Observation.code","mcc_simple_observation_value_sets.html",""
"Bowel Sounds","This set of values addresses terms representing an observation of Bowel sounds","2.16.840.1.113762.1.4.1222.822","Observation.code","mcc_simple_observation_value_sets.html",""
"Gait Quality","This set of values addresses terms representing observation of quality and speed of gait, including the amount of time it takes the person to walk a set distance.","2.16.840.1.113762.1.4.1222.826","Observation.code","mcc_simple_observation_value_sets.html",""
"Sit to Stand Ability","This set of values addresses terms representing an observation of sit-to-stand ability.","2.16.840.1.113762.1.4.1222.836","Observation.code","mcc_simple_observation_value_sets.html",""
"Bathing or grooming/hygiene (ADL/IADL)","This set of values addresses terms representing an observation of bathing/grooming/hygiene (ADL/IADL) ability.","2.16.840.1.113762.1.4.1222.954","Observation.code","mcc_simple_observation_value_sets.html",""
"Dressing (ADL or IADL)","This set of values addresses terms representing an observation of dressing (ADL/IADL) ability.","2.16.840.1.113762.1.4.1222.955","Observation.code","mcc_simple_observation_value_sets.html",""
"Toileting (ADL or IADL)","This set of values addresses terms representing an observation of toileting (ADL/IADL) ability.","2.16.840.1.113762.1.4.1222.956","Observation.code","mcc_simple_observation_value_sets.html",""
"Transferring (ADL or IADL)","This set of values addresses terms representing an observation of transferring (ADL/IADL) ability.","2.16.840.1.113762.1.4.1222.957","Observation.code","mcc_simple_observation_value_sets.html",""
"Walking or ambulation/locomotion (ADL/IADL)","This set of values addresses terms representing an observation of walking/ambulation/locomotion (ADL/IADL) ability.","2.16.840.1.113762.1.4.1222.958","Observation.code","mcc_simple_observation_value_sets.html",""
"Domestic Duties or Household Tasks (ADL/IADL)","This set of values addresses terms representing an observation of domestic duties/household tasks (ADL/IADL) ability.","2.16.840.1.113762.1.4.1222.960","Observation.code","mcc_simple_observation_value_sets.html",""
"Telephone Use (ADL or IADL)","This set of values addresses terms representing an observation of telephone use (ADL/IADL) ability.","2.16.840.1.113762.1.4.1222.961","Observation.code","mcc_simple_observation_value_sets.html",""
"Bed Mobility (ADL or IADL)","This set of values addresses terms representing an observation of bed mobility (ADL/IADL).","2.16.840.1.113762.1.4.1222.962","Observation.code","mcc_simple_observation_value_sets.html",""
"Stair Use (ADL or IADL)","This set of values addresses terms representing an observation of stair use (ADL/IADL) ability.","2.16.840.1.113762.1.4.1222.963","Observation.code","mcc_simple_observation_value_sets.html",""
"Medication Management (ADL or IADL)","This set of values addresses terms representing an observation of medication management (ADL/IADL) ability.","2.16.840.1.113762.1.4.1222.964","Observation.code","mcc_simple_observation_value_sets.html",""
"Sleep Duration, Device","This set of values addresses terms representing an observation of sleep duration measured by a device.","2.16.840.1.113762.1.4.1222.976","Observation.code","mcc_simple_observation_value_sets.html",""
